Transaction,Items
456,"Cereal, Cereal"
457,"Cereal, Milk, Eggs"
458,"Cheese, Eggs"
459,"Cheese, Cereal"
460,"Eggs, Bread, Cheese, Eggs"
461,Bread
462,Eggs
463,"Cheese, Cheese"
464,Milk
465,"Bread, Butter, Milk"
466,"Bread, Cereal, Eggs, Butter"
467,"Milk, Milk, Bread"
468,"Cereal, Eggs, Milk, Milk"
469,"Cereal, Butter, Bread"
470,"Milk, Cheese, Eggs, Eggs"
471,Milk
472,Milk
473,Butter
474,"Bread, Bread, Cereal"
475,Milk
476,"Butter, Butter, Cheese"
477,"Milk, Bread"
478,"Milk, Milk, Cereal"
479,"Cereal, Milk"
480,Eggs
481,"Bread, Bread, Milk"
482,"Milk, Milk, Cereal, Bread"
483,Cheese
484,Cereal
485,Milk
486,"Cereal, Cereal, Butter"
487,Eggs
488,Bread
489,"Cereal, Cereal"
490,"Milk, Cereal"
491,Cheese
492,"Eggs, Cereal, Milk, Bread"
493,Eggs
494,"Milk, Milk, Milk"
495,"Bread, Butter, Butter"
496,Bread
497,"Bread, Milk"
498,"Cereal, Eggs, Cereal, Milk"
499,Milk
500,"Cereal, Milk, Butter, Butter"
501,"Eggs, Milk, Eggs"
502,"Eggs, Cereal, Butter"
503,"Eggs, Cheese, Milk, Cheese"
504,Eggs
505,"Bread, Cheese, Bread, Cereal"
506,Butter
507,Milk
508,"Bread, Butter, Eggs"
509,"Bread, Cereal, Milk"
510,"Cheese, Cheese, Cheese, Cereal"
511,Cheese
512,Cereal
513,"Cereal, Eggs, Eggs, Cheese"
514,"Milk, Bread, Cereal"
515,"Bread, Milk, Butter, Cereal"
516,Cereal
517,Milk
518,Cereal
519,"Cheese, Butter, Butter"
520,Butter
521,Eggs
522,"Bread, Eggs, Butter, Butter"
523,"Eggs, Bread, Milk"
524,Bread
525,"Cheese, Milk, Butter, Milk"
526,"Butter, Cereal, Bread"
527,Bread
528,Cereal
529,"Cheese, Cereal, Cheese"
530,"Milk, Milk, Milk"
531,"Eggs, Cereal, Cereal"
532,"Cheese, Bread, Milk, Butter"
533,"Butter, Cheese"
534,Eggs
535,"Eggs, Milk, Cereal"
536,"Butter, Bread"
537,Cereal
538,"Cheese, Butter, Bread, Bread"
539,Eggs
540,Milk
541,Cereal
542,"Milk, Cheese, Cereal, Bread"
543,"Butter, Cereal"
544,Cereal
545,"Butter, Eggs, Bread, Bread"
546,"Milk, Eggs, Cereal, Cereal"
547,Bread
548,"Cheese, Bread, Cheese, Butter"
549,"Cheese, Eggs, Bread"
550,Milk
551,"Eggs, Eggs"
552,"Milk, Milk"
553,"Eggs, Eggs, Bread, Eggs"
554,Milk
555,"Eggs, Milk, Milk, Cereal"
556,Cereal
557,"Eggs, Cereal, Cereal, Butter"
558,Milk
559,"Cereal, Cereal, Bread"
560,Butter
561,"Bread, Bread, Bread"
562,Bread
563,"Bread, Eggs"
564,"Butter, Eggs, Bread, Cheese"
565,Cheese
566,"Cheese, Milk"
567,"Bread, Cheese, Cereal"
568,Eggs
569,Milk
570,"Bread, Cereal"
571,"Cereal, Milk, Butter, Milk"
572,"Bread, Eggs, Cheese, Bread"
573,"Milk, Butter, Cheese"
574,Milk
575,"Eggs, Cereal, Milk"
576,"Eggs, Eggs, Eggs"
577,Bread
578,Cheese
579,Cereal
580,"Eggs, Cereal, Bread, Eggs"
581,"Bread, Butter, Milk"
582,"Milk, Milk, Cereal"
583,"Bread, Butter"
584,"Cereal, Cereal, Bread"
585,"Bread, Cereal"
586,"Bread, Milk, Butter"
587,Milk
588,Bread
589,"Milk, Eggs, Cereal, Bread"
590,"Butter, Cereal, Cereal, Milk"
591,"Cheese, Eggs"
592,"Milk, Butter, Cereal"
593,"Cheese, Eggs, Butter"
594,"Cereal, Butter, Cheese, Cereal"
595,"Eggs, Bread, Cheese, Cheese"
596,"Cheese, Cheese, Cheese, Bread"
597,"Cheese, Cereal, Cheese"
598,"Butter, Cereal"
599,"Eggs, Eggs, Eggs, Milk"
600,"Cheese, Butter, Milk"
601,"Butter, Bread, Milk, Eggs"
602,"Eggs, Eggs, Butter, Eggs"
603,"Cereal, Cheese, Cheese"
604,"Eggs, Cereal, Cereal, Milk"
605,"Butter, Butter, Eggs"
606,"Cereal, Eggs, Cheese, Eggs"
607,Cheese
608,"Milk, Bread"
609,"Butter, Butter, Butter"
610,"Eggs, Cheese"
611,"Eggs, Milk, Milk"
612,"Milk, Bread, Eggs, Eggs"
613,"Eggs, Cereal, Eggs"
614,"Bread, Eggs"
615,Cheese
616,"Butter, Cereal, Cereal"
617,"Eggs, Cheese"
618,"Bread, Cereal, Butter, Bread"
619,"Bread, Cereal"
620,"Cheese, Cheese"
621,Cheese
622,"Milk, Butter, Eggs"
623,"Butter, Bread, Milk"
624,"Cheese, Cheese, Bread, Bread"
625,"Milk, Cheese, Cereal, Bread"
626,Butter
627,"Butter, Bread"
628,"Eggs, Milk"
629,Eggs
630,Butter
631,"Butter, Eggs, Eggs, Eggs"
632,"Milk, Milk"
633,"Bread, Butter, Milk, Cheese"
634,Eggs
635,Milk
636,"Cereal, Milk"
637,"Cereal, Butter, Butter, Cereal"
638,"Milk, Cheese"
639,Cereal
640,"Butter, Cereal, Milk"
641,"Eggs, Milk, Bread, Milk"
642,"Cheese, Butter, Bread, Bread"
643,Bread
644,Cheese
645,"Cereal, Bread, Bread, Cereal"
646,"Bread, Milk"
647,"Cheese, Butter, Bread, Bread"
648,"Eggs, Eggs"
649,"Cheese, Butter, Milk, Butter"
650,"Butter, Bread, Eggs"
651,"Milk, Butter, Milk"
652,Bread
653,"Cereal, Butter"
654,"Butter, Cereal, Cheese, Bread"
655,"Milk, Milk, Bread"
656,Cereal
657,"Eggs, Cheese"
658,"Cereal, Cereal"
659,"Milk, Eggs, Milk, Butter"
660,"Milk, Bread, Butter, Butter"
661,"Cheese, Butter, Cereal"
662,"Cereal, Milk"
663,Butter
664,Milk
665,"Eggs, Milk, Butter"
666,"Milk, Bread, Milk"
667,"Cheese, Cereal, Eggs, Milk"
668,"Cheese, Cheese, Bread, Milk"
669,"Cheese, Cereal"
670,"Milk, Cheese, Butter"
671,"Cereal, Cheese"
672,"Cheese, Butter"
673,"Milk, Cheese, Butter, Bread"
674,"Eggs, Cheese, Bread, Eggs"
675,Butter
676,"Milk, Milk"
677,"Butter, Butter"
678,"Cereal, Bread, Bread"
679,"Cheese, Cereal, Butter, Milk"
680,"Butter, Bread"
681,Butter
682,"Eggs, Cereal, Eggs"
683,"Eggs, Milk, Cheese"
684,"Bread, Eggs, Cheese, Butter"
685,"Cereal, Cheese, Cereal, Bread"
686,"Eggs, Eggs, Eggs, Butter"
687,"Cereal, Butter, Cheese"
688,"Butter, Cereal"
689,"Cereal, Cheese"
690,Cheese
691,"Butter, Bread, Bread, Bread"
692,Cheese
693,"Cereal, Butter, Cereal"
694,"Milk, Cereal, Milk, Bread"
695,"Cheese, Butter, Butter"
696,"Cereal, Eggs, Milk"
697,"Bread, Eggs"
698,"Eggs, Bread"
699,"Cheese, Cereal, Cheese, Cheese"
700,"Bread, Bread"
701,"Cereal, Bread, Cereal, Cheese"
702,Cereal
703,Milk
704,Eggs
705,"Butter, Eggs, Bread"
706,"Cheese, Eggs"
707,Butter
708,"Cheese, Cereal, Butter"
709,Eggs
710,Eggs
711,"Milk, Milk, Cheese"
712,"Bread, Butter, Eggs, Milk"
713,Cheese
714,"Milk, Bread"
715,"Eggs, Bread, Milk, Cheese"
716,"Eggs, Milk, Cheese, Cheese"
717,"Bread, Cereal, Eggs"
718,"Cereal, Eggs, Butter"
719,"Cereal, Cheese, Bread, Cheese"
720,"Milk, Cereal"
721,"Bread, Bread, Cheese"
722,"Bread, Bread, Bread, Milk"
723,"Milk, Bread"
724,"Eggs, Bread, Cheese"
725,"Bread, Cereal, Bread, Eggs"
726,"Cheese, Eggs, Milk"
727,"Bread, Cereal, Milk"
728,"Eggs, Milk, Cereal"
729,"Butter, Cereal, Butter"
730,"Cereal, Butter, Milk"
731,"Cheese, Bread"
732,"Butter, Milk, Milk, Bread"
733,"Cereal, Milk, Cheese"
734,"Milk, Bread, Bread"
735,"Milk, Bread, Cereal"
736,Butter
737,"Bread, Eggs"
738,Bread
739,"Cheese, Butter"
740,"Bread, Bread"
741,"Cereal, Cheese"
742,"Cheese, Cheese, Cereal, Bread"
743,"Cheese, Milk, Bread"
744,"Bread, Cereal, Cheese, Eggs"
745,Cheese
746,"Butter, Eggs, Cereal"
747,"Eggs, Butter"
748,Butter
749,"Cheese, Cheese"
750,"Milk, Cheese"
751,"Bread, Cheese, Cereal, Cereal"
752,"Cheese, Cheese"
753,Milk
754,"Milk, Milk"
755,"Cheese, Cheese, Milk"
756,"Cheese, Cheese, Cereal, Bread"
757,"Cereal, Eggs, Eggs"
758,"Butter, Cereal, Butter, Cereal"
759,"Bread, Cereal, Cheese"
760,"Cereal, Bread, Eggs"
761,"Cheese, Eggs, Milk"
762,Eggs
763,"Cereal, Milk"
764,"Cheese, Cheese"
765,Butter
766,"Butter, Cheese"
767,"Cereal, Bread, Milk"
768,"Cereal, Eggs"
769,Eggs
770,"Eggs, Butter, Eggs"
771,"Cereal, Cheese"
772,"Butter, Eggs, Milk, Cheese"
773,"Bread, Milk"
774,"Eggs, Butter, Eggs"
775,"Cheese, Cereal, Eggs, Milk"
776,"Eggs, Butter, Milk, Butter"
777,Butter
778,"Bread, Eggs"
779,"Eggs, Cereal"
780,"Eggs, Bread"
781,"Milk, Butter, Bread, Cheese"
782,"Eggs, Bread"
783,"Butter, Milk, Bread"
784,"Bread, Eggs"
785,Milk
786,"Eggs, Butter"
787,"Butter, Milk, Bread"
788,"Milk, Eggs, Cheese, Eggs"
789,"Cheese, Bread, Butter, Butter"
790,"Butter, Butter"
791,Cheese
792,"Eggs, Cheese, Milk, Cheese"
793,"Bread, Bread"
794,"Milk, Cheese"
795,Cheese
796,"Cereal, Eggs"
797,"Eggs, Eggs, Eggs, Eggs"
798,"Cheese, Eggs"
799,Butter
800,"Milk, Milk, Milk, Bread"
801,Cereal
802,"Milk, Milk"
803,"Milk, Cheese"
804,"Cereal, Butter, Cheese"
805,Milk
806,"Cheese, Cheese, Milk"
807,"Bread, Bread"
808,"Bread, Milk"
809,"Milk, Eggs, Bread, Eggs"
810,Milk
811,Cheese
812,"Milk, Cheese, Bread"
813,Butter
814,"Eggs, Cheese, Bread"
815,"Butter, Butter, Milk"
816,Eggs
817,Butter
818,"Butter, Milk"
819,"Butter, Butter"
820,"Cheese, Cereal, Bread"
821,"Milk, Cheese"
822,"Milk, Bread"
823,Milk
824,Cheese
825,"Butter, Cheese, Eggs"
826,"Eggs, Eggs, Cereal, Milk"
827,Eggs
828,"Cheese, Bread, Eggs, Butter"
829,Cereal
830,"Butter, Milk, Cereal, Bread"
831,"Cheese, Eggs, Bread"
832,Cereal
833,"Cheese, Milk, Cereal"
834,"Butter, Cheese, Bread, Butter"
835,"Cereal, Butter"
836,"Butter, Cereal, Bread"
837,"Cereal, Cheese, Bread, Butter"
838,Eggs
839,"Milk, Milk, Cheese"
840,"Butter, Milk, Cereal"
841,"Eggs, Cereal, Eggs, Cheese"
842,"Cheese, Milk, Bread, Milk"
843,"Cereal, Cereal, Butter"
844,"Cheese, Butter, Butter, Bread"
845,"Butter, Bread, Eggs, Butter"
846,"Cereal, Eggs, Butter"
847,"Cereal, Bread, Milk"
848,"Cereal, Cereal"
849,Bread
850,"Eggs, Cereal, Eggs, Butter"
851,"Cereal, Cereal, Cheese, Bread"
852,"Bread, Cheese, Bread"
853,"Cereal, Milk"
854,"Bread, Bread"
855,"Bread, Cereal"
856,"Cereal, Milk, Cheese, Milk"
857,"Eggs, Cheese, Bread, Cereal"
858,"Eggs, Cheese"
859,"Cereal, Butter, Butter, Bread"
860,Eggs
861,"Eggs, Cereal, Butter, Cereal"
862,"Butter, Cereal, Eggs, Milk"
863,Butter
864,"Cheese, Milk, Butter, Butter"
865,"Bread, Eggs, Bread, Cheese"
866,"Bread, Cheese, Bread"
867,Cheese
868,Bread
869,"Cheese, Butter, Milk"
870,"Bread, Milk, Cereal, Butter"
871,"Cereal, Bread, Cheese"
872,Bread
873,"Butter, Butter"
874,"Butter, Milk"
875,"Bread, Bread, Bread, Cereal"
876,Bread
877,"Cereal, Bread, Cereal"
878,"Cereal, Eggs, Cereal"
879,Cereal
880,"Cereal, Cereal, Butter"
881,"Bread, Eggs, Bread, Bread"
882,"Cereal, Cheese, Cheese, Milk"
883,Bread
884,Bread
885,"Butter, Eggs, Bread"
886,"Butter, Eggs"
887,"Milk, Milk, Butter"
888,Milk
889,Cheese
890,"Milk, Bread"
891,"Butter, Cereal, Cereal"
892,"Milk, Cheese"
893,Bread
894,Cereal
895,Milk
896,"Cheese, Milk"
897,Bread
898,"Butter, Cereal"
899,"Milk, Butter, Milk"
900,"Butter, Milk"
901,"Cheese, Cereal"
902,"Eggs, Cheese, Eggs, Cereal"
903,Cheese
904,"Eggs, Cheese, Milk"
905,"Milk, Cheese, Bread"
906,"Bread, Eggs"
907,"Bread, Bread, Cereal, Bread"
908,"Cereal, Eggs, Milk, Cheese"
909,Cheese
910,"Milk, Cheese, Eggs"
911,"Bread, Milk, Cheese, Cereal"
912,"Milk, Cheese, Butter"
913,"Butter, Cereal, Cheese"
914,"Cheese, Butter, Cereal"
915,Milk
916,"Eggs, Cheese"
917,"Eggs, Bread"
918,"Eggs, Cereal, Milk"
919,Cereal
920,"Eggs, Bread, Cheese, Milk"
921,"Cheese, Bread, Bread"
922,"Bread, Bread, Bread"
923,Milk
924,"Milk, Eggs, Butter"
925,"Cereal, Cereal, Eggs, Milk"
926,Cheese
927,"Butter, Milk, Cereal, Cereal"
928,"Cereal, Bread, Cheese"
929,"Cheese, Bread, Cereal, Cereal"
930,"Butter, Milk, Milk, Bread"
931,"Butter, Eggs, Milk"
932,"Butter, Milk, Cheese, Cheese"
933,Cereal
934,"Cheese, Butter, Cereal, Eggs"
935,Cereal
936,"Cheese, Cheese, Eggs"
937,"Butter, Bread"
938,"Milk, Cereal, Cheese, Butter"
939,"Eggs, Butter, Cereal, Milk"
940,"Butter, Milk, Butter"
941,"Cheese, Bread"
942,"Butter, Cereal, Butter"
943,Milk
944,"Eggs, Cheese, Butter, Cereal"
